title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
神町自治会館,呉市仁方西神町34-1,34.2276449,132.648062,large,#FF0000,#FFFFFF,2
浄徳寺,呉市仁方中筋町1-2,34.22783966,132.6509804,large,#FF0000,#FFFFFF,2
中筋自治会館,呉市仁方中筋町21,34.2330103,132.6531473,large,#FF0000,#FFFFFF,2
仁方大歳自治会館,呉市仁方大歳町20-37,34.22284,132.661659,large,#FF0000,#FFFFFF,2
仁方老人集会所,呉市仁方桟橋通3-5,34.22157451,132.655009,large,#FF0000,#FFFFFF,2
大東自治会館,呉市仁方本町1丁目4-20,34.2226382,132.6536375,large,#FF0000,#FFFFFF,2
東側自治会館,呉市仁方本町1丁目17-1,34.2260977,132.6530725,large,#FF0000,#FFFFFF,2
宮原まちづくりセンター,呉市宮原7丁目4-21,34.229829,132.5575,large,#FF0000,#FFFFFF,2
宮原小学校,呉市宮原4丁目8-1,34.23383824,132.5618666,large,#FF0000,#FFFFFF,2
宮原中学校,呉市船見町1-1,34.22665541,132.5552201,large,#FF0000,#FFFFFF,2
坪内小学校,呉市宮原12丁目13-1,34.223558,132.55593,large,#FF0000,#FFFFFF,2
呉宮原高等学校,呉市宮原3丁目1-1,34.23573419,132.5628483,large,#FF0000,#FFFFFF,2
清水ヶ丘高等学校,呉市青山町2-1,34.24115128,132.5666302,large,#FF0000,#FFFFFF,2
休谷ホーム,呉市宮原1丁目5-26,34.235973,132.568216,large,#FF0000,#FFFFFF,2
宮原集会所(宮原支所),呉市宮原4丁目10-1,34.233443,132.562591,large,#FF0000,#FFFFFF,2
正圓寺,呉市宮原5丁目7-29,34.23270287,132.5629798,large,#FF0000,#FFFFFF,2
坪ノ内アパート集会所,呉市坪ノ内町10,34.2213465,132.5532912,large,#FF0000,#FFFFFF,2
天応まちづくりセンター,呉市天応宮町4-15,34.2869146,132.5178431,large,#FF0000,#FFFFFF,2
天応中学校,呉市天応東久保2丁目7-1,34.28918466,132.5251043,large,#FF0000,#FFFFFF,2
天応小学校,呉市天応大浜2丁目1-64,34.288208,132.515558,large,#FF0000,#FFFFFF,2
呉ポートピアパーク,呉市天応大浜3丁目2-3,34.2914408,132.5111976,large,#FF0000,#FFFFFF,2
天応ふれあい集会所,呉市天応宮町4-22,34.28723673,132.5180367,large,#FF0000,#FFFFFF,2
天応西いきいきライフホーム,呉市天応伝十原町15-1,34.293264,132.513021,large,#FF0000,#FFFFFF,2
大西自治会館,呉市天応西条3丁目25-65,34.2907502,132.5231002,large,#FF0000,#FFFFFF,2
福浦集会所,呉市天応福浦町12-37,34.2961871,132.5105238,large,#FF0000,#FFFFFF,2
昭和市民センター,呉市焼山中央2丁目8-12,34.2965192,132.5568021,large,#FF0000,#FFFFFF,2
昭和東まちづくりセンター,呉市苗代町字八幡野39-2,34.2904336,132.5905415,large,#FF0000,#FFFFFF,2
昭和西小学校,呉市焼山宮ヶ迫1丁目3-1,34.29864446,132.5537986,large,#FF0000,#FFFFFF,2
昭和中央小学校,呉市焼山中央4丁目1-1,34.28918909,132.5606945,large,#FF0000,#FFFFFF,2
（旧）昭和東小学校,呉市苗代町字八幡野39-2,34.29082674,132.5914192,large,#FF0000,#FFFFFF,2
昭和南小学校,呉市焼山此原町14-1,34.28202872,132.5463045,large,#FF0000,#FFFFFF,2
昭和中学校,呉市焼山中央6丁目9-1,34.28949934,132.5648654,large,#FF0000,#FFFFFF,2
昭和北中学校,呉市焼山泉ヶ丘2丁目11-1,34.31134671,132.556183,large,#FF0000,#FFFFFF,2
昭和体育館,呉市焼山中央2丁目8-12,34.29661144,132.5583154,large,#FF0000,#FFFFFF,2
呉昭和高等学校,呉市焼山町山の神,34.28925779,132.540307,large,#FF0000,#FFFFFF,2
昭和北小学校,呉市焼山本庄1丁目6-1,34.30630415,132.5547802,large,#FF0000,#FFFFFF,2
呉特別支援学校,呉市焼山北3丁目22-1,34.307927,132.553647,large,#FF0000,#FFFFFF,2
円福寺,呉市焼山西3丁目19-14,34.29630232,132.5548875,large,#FF0000,#FFFFFF,2
押込集会所,呉市押込3丁目5-2,34.31791974,132.5652757,large,#FF0000,#FFFFFF,2
呉二河峡ゴルフセンター,呉市焼山松ヶ丘2丁目1-1,34.27953763,132.5505665,large,#FF0000,#FFFFFF,2
桜ケ丘老人集会所,呉市焼山桜ヶ丘2丁目6-5,34.283405,132.5550672,large,#FF0000,#FFFFFF,2
昭和西ふれあい集会所,呉市焼山西3丁目4-3,34.293198,132.551592,large,#FF0000,#FFFFFF,2
昭和中央集会所,呉市焼山中央4丁目4-18,34.29150484,132.5601527,large,#FF0000,#FFFFFF,2
昭和南いきいきライフホーム,呉市焼山ひばりヶ丘町19-28,34.281144,132.547598,large,#FF0000,#FFFFFF,2
神山集会所,呉市神山1丁目19-29,34.278063,132.571919,large,#FF0000,#FFFFFF,2
南ハイツ自治会館,呉市神山3丁目3-1,34.2874185,132.5677698,large,#FF0000,#FFFFFF,2
